rank,manga_name,autors,chapters_published,status,reading_type
161,Kuroshitsuji,"Toboso, Yana (Story & Art)",214,Ongoing,Right to Left
162,Horimiya,HERO,124,Ongoing,Right to Left
163,Zannen Jokanbu Black General-san,Jin,171,Ongoing,Right to Left
164,Yankee-kun to Hakujou Gaaru,Uoyama,125,Ongoing,Right to Left
165,Tensei Shitara Ken deshita,Tanaka Yuu,86,Ongoing,Right to Left
166,Combat Continent,Tang Jia San Shao,325,Ongoing,Right to Left
167,Jagaaaaaan,KANESHIRO Muneyuki,163,Completed,Right to Left
168,A Trail of Blood,"Oshimi Shuuzou, Oshimi Shuzo",153,Completed,Right to Left
169,Mushoku Tensei - Isekai Ittara Honki Dasu,Rifujin Na Magonote,109,Ongoing,Right to Left
170,The Boy in the All-Girls School,Chu Dao Manhua,473,Ongoing,Left to Right
171,JoJo's Bizarre Adventure Part 8: Jojolion,ARAKI Hirohiko,110,Ongoing,Right to Left
172,Soukyuu no Ariadne,Yagi Norihiro,217,Ongoing,Right to Left
173,Baby Steps,"Kachiki, Hikaru (Story & Art)",455,Ongoing,Right to Left
174,Plunderer,MINAZUKI Suu,82e,Ongoing,Right to Left
175,Gakkou Gurashi!,KAIHOU Norimitsu,78,Ongoing,Right to Left
176,Tokyo Ghoul:re,ISHIDA Sui,179,Completed,Right to Left
177,The Reincarnation Magician of the Inferior Eyes,"Yuura Citrus, Kankitsu Yusura",114,Completed,Right to Left
178,Gintama,"Sorachi, Hideaki",704,Ongoing,Right to Left
179,Overlord,Maruyama Kugane,78,Ongoing,Right to Left
180,Red Storm,Cyungchan Noh,400,Ongoing,Left to Right
181,Burn the Witch,Kubo Tite,4,Ongoing,Right to Left
182,Spy X Family,Endou Tatsuya,115,Ongoing,Right to Left
183,Mob Psycho 100,ONE,97,Ongoing,Right to Left
184,Magi,OHTAKA Shinobu,369,Completed,Right to Left
185,Volcanic Age,"Tomato, Jeong Jun",303,Ongoing,Manhwa
186,Jibaku Shounen Hanako-kun,Aida Iro,125,Ongoing,Right to Left
187,Nisekoi,KOMI Naoshi,229,Completed,Right to Left
188,Inuyasha,"Takahashi, Rumiko",559,Completed,Right to Left
189,Isekai Shihai no Skill Taker: Zero kara Hajimeru Dorei Harem,Kankitsu Yusura,135,Ongoing,Right to Left
190,Against the Gods,Huo Xing Yin LiMars,733,Ongoing,Manhua
191,Silver Gravekeeper,Zero League,337,Ongoing,Right to Left
192,Re:Monster,KANEKIRU Kogitsune,107,Ongoing,Right to Left
193,"Kouritsu Kuriya Madoushi, Daini no Jinsei de Madou o Kiwameru",Kenkyo Na Circle,60,Ongoing,Right to Left
194,Road To Naruto The Movie,KISHIMOTO Masashi,1,Completed,Right to Left
195,Gantz,"Oku, Hiroya (Story & Art)",383,Completed,Right to Left
196,Hunter Age,Man Wang,239,Ongoing,Left to Right
197,Revival Man,Chae Yong Taek,176,Ongoing,Right to Left
198,Skip Beat,"Nakamura, Yoshiki (Story & Art)",331,Ongoing,Right to Left
199,The Legendary Moonlight Sculptor,"Lee Do-gyeong, NAM Heesung",175,Ongoing,Manhwa
200,Watari-kun no xx ga Houkai Sunzen,NARUMI Naru,92,Ongoing,Right to Left
201,Dungeon Reset,"Ant Studio, Daul",246,Ongoing,Left to Right
202,Sankarea,HATTORI Mitsuru,56,Ongoing,Right to Left
203,The Portal of Wonderland,Wang Yu,143,Ongoing,Right to Left
204,Vigilante: Boku no Hero Academia Illegals,"FURUHASHI Hideyuki, HORIKOSHI Kouhei",126,Ongoing,Right to Left
205,Detective Conan,Aoyama Gosho,1143,Ongoing,Right to Left
206,Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,MINAZUKI Shizuru,65,Ongoing,Right to Left
207,Saikyou no Shuzoku ga Ningen datta Ken,KANKITSU Yusura,63,Completed,Right to Left
208,Hige Wo Soru. Soshite Joshikosei Wo Hirou.,"Buta, Shimesaba",63,Ongoing,Right to Left
209,SOZAI SAISHUKA NO ISEKAI RYOKOUKI,Kinoko Masuo,59,Ongoing,Right to Left
210,Mieruko-chan,Izumi Tomoki,64e,Ongoing,Right to Left
211,Dungeon ni Deai wo Motomeru no wa Machigatte Iru Darou ka,Oomori Fujino,90,Ongoing,Right to Left
212,Usogui,"Sako, Toshio  (Story & Art)",539,Completed,Right to Left
213,JoJo's Bizarre Adventure Part 4: Diamond is Unbreakable,ARAKI Hirohiko,19,Completed,Right to Left
214,Shachiku Succubus no Hanashi,Gentsuki,22,Ongoing,Right to Left
215,Dosanko Gyaru ha Namaramenkoi,Ikada Kai,119,Ongoing,Right to Left
216,Kono Subarashii Sekai ni Shukufuku o!,AKATSUKI Natsume,127,Ongoing,Right to Left
217,Supreme Demon,Leyou Yinghua,185,Ongoing,Right to Left
218,Soredemo Ayumu wa Yosetekuru,YAMAMOTO Souichirou,225,Ongoing,Right to Left
219,Real no Heroine wa Irimasen!,Tao Noritake,124,Ongoing,Right to Left
220,Stalker x Stalker,Reon Merryweatherey,99,Ongoing,Left to Right
221,Wind Breaker,Jo YongSeuk,546,Ongoing,Left to Right
222,Kill the Hero,D-Dart,153,Ongoing,Left to Right
223,Prison School,HIRAMOTO Akira,277,Completed,Right to Left
224,JoJo's Bizarre Adventure Part 1: Phantom Blood,ARAKI Hirohiko,5,Completed,Right to Left
225,Overgeared,Park Saenal,24,Ongoing,Left to Right
226,"Maou-sama, Retry!",Kanzaki Kurone,25,Ongoing,Right to Left
227,Strongest Abandoned Son,Goose Five,172,Ongoing,Left to Right
228,Senryuu Shoujo,IGARASHI Masakuni,173,Ongoing,Right to Left
229,Hare Kon.,NON,195,Ongoing,Right to Left
230,To-LOVE-Ru,Hasemi Saki,162,Ongoing,Right to Left
231,Btooom!,INOUE Junya,121,Ongoing,Right to Left
232,Release That Witch,Er Mu,664,Ongoing,Manhua
233,Namaikizakari.,MIYUKI Mitsubachi,137g,Ongoing,Right to Left
234,Oshi no Ko,Akasaka Aka,167,Ongoing,Right to Left
235,Baki - Son Of Ogre,"Itagaki, Keisuke (Story & Art)",312,Ongoing,Right to Left
236,ReLIFE,YAYOI Sou,222,Completed,Right to Left
237,1-nen A-gumi no Monster,Hideki,64,Ongoing,Right to Left
238,Koisuru Yankee Girl,Orihara Sachiko,73,Ongoing,Right to Left
239,Baki-Dou (2018),Itagaki Keisuke,159,Ongoing,Right to Left
240,Dokuzakura,Mita,33,Ongoing,Right to Left
241,Shen Yin Wang Zuo,Tang Jia San Shao,375,Ongoing,Right to Left
242,Hunter X Hunter,"Togashi, Yoshihiro",410,Ongoing,Right to Left
243,First Rate Master,Tao Le Si,94,Ongoing,Right to Left
244,Beastars,Itagaki Paru,196,Completed,Right to Left
245,Lookism,PARK Tae Joon,553,Ongoing,Manhwa
246,Immortal Swordsman in the Reverse World,No Sensei,380,Ongoing,Left to Right
247,Days,Yasuda Tsuyoshi,375,Ongoing,Right to Left
248,"Hachinan tte, Sore wa Nai Deshou!",Y.A,100,Ongoing,Right to Left
249,Demon Spirit Seed Manual,Dazui,287,Ongoing,Left to Right
250,Hitoribocchi no Isekai Kouryaku,Goji Shoji,274,Ongoing,Right to Left
251,Combat Continent II,Tang Jia San Shao,566,Ongoing,Right to Left
252,Kimetsu no Yaiba - Digital Colored Comics,Gotouge Koyoharu,185,Ongoing,Right to Left
253,Kangoku Jikken, Kantetsu,67,Ongoing,Right to Left
254,Adventure of Sinbad - Prototype,OHTAKA Shinobu,180,Ongoing,Right to Left
