rank,manga_name,autors,chapters_published,status,reading_type
347,Legend of the Tyrant Empress,Hehe,110,Ongoing,Right to Left
348,Soul Eater,Ookubo Atsushi,113,Completed,Right to Left
349,Unemployed Concentration Camp,Kamakura Atsushi,29d,Ongoing,Right to Left
350,My Hero Academia: Team Up Mission,"Akiyama Yoco, Horikoshi Kouhei",39,Ongoing,Right to Left
351,Bandai Kaname wa Asobitai,Shou Hikawa,21,Ongoing,Right to Left
352,ISEKAI PICNIC,MIYAZAWA Iori,78,Ongoing,Right to Left
353,Platinum END,OHBA Tsugumi,58,Completed,Right to Left
354,Tsuyokute New Saga,ABE Masayuki,107b,Completed,Right to Left
355,Shiro no Koukoku Monogatari,SHIRASAWA Inui,63,Ongoing,Right to Left
356,World Customize Creator,Hero Tennki,81,Ongoing,Right to Left
357,Toriko,Shimabukuro Mitsutoshi,396,Completed,Left to Right
358,Ishuzoku Reviewers,Amahara,70e,Ongoing,Right to Left
359,I'm Destined for Greatness!,Author Bot,208,Ongoing,Left to Right
360,"Kumo Desu ga, Nani ka?",Baba Okina,74a,Ongoing,Right to Left
361,Osananajimi ni Najimitai,Araido Kagiri,23,Ongoing,Right to Left
362,Ao no Orchestra,Akui Makoto,66,Ongoing,Right to Left
363,Fairy Tail City Hero,Ando Ushio,45,Ongoing,Right to Left
364,Isekai wo Seigyo Mahou de Kirihirake!,Satake Akinori,36,Ongoing,Right to Left
365,D-Frag,"Haruno, Tomoya (Story & Art)",169,Ongoing,Right to Left
366,Suterare Yuusha wa Kitakuchuu,Naname44°,6,Ongoing,Right to Left
367,Bloody Taboo,Dai Xi,1,Ongoing,Right to Left
368,Joujuu Senjin!! Mushibugyo,FUKUDA Hiroshi,316,Ongoing,Right to Left
369,Trinity Wonder,Jeon Geuk-jin,102,Ongoing,Left to Right
370,Koe no Katachi,OOIMA Yoshitoki,62,Ongoing,Right to Left
371,Akagami no Shirayukihime,Akizuki Sorata,139,Ongoing,Right to Left
372,Slime Life,Megasawara,300g,Ongoing,Right to Left
373,Heavenly Match,ALIC,335,Ongoing,Right to Left
374,One Piece - Colored,Oda Eiichiro,550,Ongoing,Right to Left
375,Sweet X Trouble,Tamlin,41,Ongoing,Right to Left
376,Gal Gohan,TAIYOU Marii,68,Ongoing,Right to Left
377,Fuuka,SEO Kouji,195,Ongoing,Right to Left
378,"Urami Koi, Koi, Urami Koi.",Akitaka,62,Ongoing,Right to Left
379,Nozomanu Fushi no Boukensha,OKANO Yuu,63,Ongoing,Right to Left
380,Boku dake ga Inai Machi,Sanbe Kei,44,Completed,Right to Left
381,The Ruler of the Land,Jeon Geuk-jin,684e,Ongoing,Left to Right
382,Suzuka,"Seo, Kouji",166,Ongoing,Right to Left
383,Time Paradox Ghostwriter,Ichima Kenji,14,Ongoing,Right to Left
384,Rooftop Sword Master,KIM Ui-Kwon,102,Ongoing,Left to Right
385,Mahou Tsukai no Yome,YAMAZAKI Kore,104,Ongoing,Right to Left
386,Majo no Moribito,Sakano Asahi,19,Completed,Right to Left
387,Mato Seihei no Slave,Takahiro,155,Ongoing,Right to Left
388,DICE: The Cube that Changes Everything,Yun Hyun Suk,387,Ongoing,Left to Right
389,Mahou? Sonna Koto yori Kinniku da!,Doraneko,21e,Ongoing,Right to Left
390,Almighty Master,Xin Yi Ren Comics,286,Ongoing,Left to Right
391,Autophagy Regulation,"Chang Guo Peng, Chen Cheng, Ji Ye-Ya Ku Mo",370,Ongoing,Left to Right
392,Dungeon Meshi,KUI Ryouko,97z,Ongoing,Right to Left
393,Hiraheishi wa Kako o Yumemiru,OKANO Yuu,62,Completed,Right to Left
394,Death Note Oneshot,"Obata, Takeshi (Art), Ohba, Tsugumi (Story)",1,Completed,Right to Left
395,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Kennoji,56,Ongoing,Right to Left
396,"Hero""s",Mashima Hiro,10,Ongoing,Right to Left
397,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,Misora Riku,100,Ongoing,Right to Left
398,Gantz:E,Oku Hiroya,76,Ongoing,Right to Left
399,Vagabond,"Inoue Takehiko, Yoshikawa Eiji",327,Ongoing,Right to Left
400,Kyokou Suiri,"Katase Chasiba, Shirodaira Kyou",71e,Ongoing,Right to Left
401,Zatch Bell,"Raiku, Makoto",324,Ongoing,Right to Left
402,JoJo's Bizarre Adventure Part 5: Vento Aureo,ARAKI Hirohiko,17,Completed,Right to Left
403,Senken no Majutsushi to Yobareta Kenshi,Takamitsu Akira,37,Ongoing,Right to Left
404,Magician,Kim Sarae,525,Ongoing,Left to Right
405,Slam Dunk,Inoue Takehiko,276,Completed,Right to Left
406,Shinazu no Ryouken,YASOHACHI Ryou,39,Ongoing,Right to Left
407,Parasyte,"Iwaaki, Hitoshi (Story & Art)",64,Completed,Right to Left
408,Ernak,"Gurim Lee, Kaichael",65,Ongoing,Left to Right
409,Mao,Takahashi Rumiko,272,Ongoing,Right to Left
410,Heart Gear,Takaki Tsuyoshi,52,Ongoing,Right to Left
411,Vigilante: My Hero Academia Illegals,"FURUHASHI Hideyuki, HORIKOSHI Kouhei",48,Ongoing,Right to Left
412,Magi Craft Meister,"Aki Gitsune, Akigitsune",69,Ongoing,Right to Left
413,Jichou shinai Motoyuusha no Tsuyokute Tanoshii New Game,Araki Shin,123,Ongoing,Right to Left
414,Eleceed,Son Jeho,348,Ongoing,Left to Right
415,"Gambler""s Parade",Kodaka Kazutaka,27,Ongoing,Right to Left
416,Dekiai no Ori,Kirimi Yuya,1,Ongoing,Right to Left
417,Kimi wa Midara na Boku no Joou,Okamoto Lynn,12,Complete,Right to Left
418,Isekai Cheat Magician,Uchida Takeru,43,Ongoing,Right to Left
419,Historys Strongest Disciple Kenichi,Matsuena Syun,583,Ongoing,Right to Left
420,Sprite,ISHIKAWA Yugo (Story & Art),92,Ongoing,Right to Left
421,"Isekai Izakaya ""Nobu""",Semikawa Natsuya,104,Ongoing,Right to Left
422,Martial Art Successor,??? ???,36,Ongoing,Right to Left
423,Shinka no Mi,Miku,45b,Ongoing,Right to Left
424,Nanba Mg5,Ozawa Toshio,130,Ongoing,Right to Left
425,Shuujin Riku,SEGUCHI Shinobu,80,Ongoing,Right to Left
426,Study Group,Hyungwook Shin,274,Ongoing,Left to Right
427,Fake Rebellion,Yuchang Sasaki,3,Ongoing,Right to Left
428,Kimetsu no Yaiba: Tomioka Giyuu Gaiden,Gotouge Koyoharu,2,Ongoing,Right to Left
429,Crimson Karma,Lemon Frog,118,Ongoing,Left to Right
430,Ranker's Return,Youngbiram,24,Ongoing,Left to Right
431,The Undefeatable Swordsman,Sung Dae-Wung,244,Ongoing,Left to Right
432,The Fiancee is Here,Tamrin,126,Ongoing,Right to Left
433,Yasei no Last Boss ga Arawareta!,Tsubasa Hazuki,50b,Ongoing,Right to Left
434,Chihayafuru,SUETSUGU Yuki,247e,Ongoing,Right to Left
435,Drifters,"Hirano, Kouta (Story & Art)",83,Ongoing,Right to Left
436,Rise of The Demon King,Yao Ye,62,Ongoing,Right to Left
437,Kenshi o Mezashite Nyugaku Shitanoni Maho Tekisei 9999 Nandesukedo!?,Nenjuu Mugichatarou,69,Ongoing,Right to Left
438,Blue Hearts,Yayoiso,64e,Ongoing,Right to Left
439,Siscon Ani to Brocon Imouto ga Shoujiki ni Nattara,Hano Haruka,48,Ongoing,Right to Left
440,Goblin Slayer Gaiden 2: Tsubanari no Daikatana,Kagyu Kumo,28e,Ongoing,Right to Left
441,The Breaker,"Park, Jin-Hwan (Story & Art)",72,Completed,Left to Right
442,Reverse Villain,"Gondrigogi, Han Yeo-Leum",110,Ongoing,Left to Right
443,Auto Hunting,Black Seed Entertainment,92,Ongoing,Left to Right
444,"'Tis Time for ""Torture,"" Princess",Haruhara Robinson,269,Ongoing,Right to Left
445,Kono Bijutsubu ni wa Mondai ga Aru!,IMIGI Muru,116a,Ongoing,Right to Left
446,Devils Line,Hanada Ryou,53,Ongoing,Right to Left
447,Isekai Tensei Soudouki,Takami Ryousen,102,Ongoing,Right to Left
448,Tensei Shite Inaka de Slowlife wo Okuritai,Renkinou,76,Ongoing,Right to Left
449,Memento Memori,Kou-ki,17,Ongoing,Right to Left
450,Eden Game,Migu,38,Ongoing,Left to Right
451,Aoharu x Kikanjuu,Naoe,Published.,Ongoing,Right to Left
452,Tondemo Skill de Isekai Hourou Meshi,Eguchi Ren,59f,Ongoing,Right to Left
453,Metropolitan System,Tu Jun,360,Ongoing,Left to Right
454,Phantom Seer,Gotou Tougo,30,Completed,Right to Left
455,Flying Over a Thousand Mountains to Love You,"Qing Kong Ying Hua Xia Ye Studio,",110,Ongoing,Right to Left
456,New Game!,Tokunou Shoutarou,152b,Ongoing,Right to Left
457,JoJo's Bizarre Adventure Part 2: Battle Tendency,ARAKI Hirohiko,7,Completed,Right to Left
458,Koushaku Reijou no Tashinami,Reia,65,Ongoing,Right to Left
459,Kawaii Hito (SAITOU Ken),Saitou Ken,30e,Ongoing,Right to Left
460,Peter Grill to Kenja no Jikan,Hiyama Daisuke,67,Ongoing,Right to Left
461,Ajin,MIURA Tsuina,86,Ongoing,Right to Left
462,Battle Angel Alita Last Order,"Kishiro, Yukito (Story & Art)",129,Ongoing,Right to Left
463,Uzumaki,"Ito, Junji (Story & Art)",20,Completed,Right to Left
464,Fukigen na Mononokean,WAZAWA Kiri,92,Ongoing,Right to Left
465,Again!!,KUBO Mitsurou,136,Ongoing,Right to Left
466,Radiation House,Yokomaku Tomohiro,94,Ongoing,Right to Left
467,Bone Collection,Jun Kirarazaka,15,Ongoing,Right to Left
468,First Class Servant,Chun Qing Xi Li Ge,293,Ongoing,Left to Right
469,Argate Online,Touno Tsumugu,57,Ongoing,Right to Left
470,Knights & Magic,Amazake No Hisago,122,Ongoing,Right to Left
471,Honey Lemon Soda,MURATA Mayu,71,Ongoing,Right to Left
472,Kawaii Joushi o Komasaretai,TACHIBANA Roku,108,Ongoing,Right to Left
473,High School of the Dead,"Daisuke Satou, Shouji Satou",30,Ongoing,Right to Left
474,Dear Door,Pluto,54,Ongoing,Manhwa
475,Risouteki Boyfriend,Ayase Umi,27,Ongoing,Right to Left
476,King of Apocalypse,ENG,664,Ongoing,Manhua
477,Dorohedoro,HAYASHIDA Q.,167,Ongoing,Right to Left
478,Aruosumente,Aki,38,Ongoing,Right to Left
479,To Aru Kagaku no Accelerator,KAMACHI Kazuma,63,Completed,Right to Left
480,Tensura Nikki Tensei Shitara Slime Datta Ken,Fuse,64,Ongoing,Right to Left
481,The Magic Chef of Ice and Fire,No Sensei,111,Ongoing,Right to Left
482,Hitman (SEO Kouji),"Seo, Kouji",99,Ongoing,Right to Left
483,"Hiratsu Cute, Shizu Cute!",Poipoipoita,52,Ongoing,Right to Left
484,Youjo Senki,Carlo Zen,86,Ongoing,Right to Left
485,Girls of the Wild's,Hun,260,Ongoing,Left to Right
486,Mononogatari,Onigunsou,59,Ongoing,Right to Left
487,Tensei Ouji wa Daraketai,ASAHINA Nagomu,25,Ongoing,Right to Left
488,Shokugeki no Soma - Etoile,Itou Michiko,8,Ongoing,Right to Left
489,Promised Orchid,Jeon Geuk-jin,106,Ongoing,Left to Right
490,"Hazure Waku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin Suru made",Shinozaki Kaoru,58b,Ongoing,Right to Left
491,Fukushuu Kyoushitsu,YAMAZAKI Karasu,25,Ongoing,Right to Left
492,The Villainess Lives Twice,피치베리,175,Ongoing,Left to Right
493,Ayakashi Triangle,Yabuki Kentaro,144,Completed,Right to Left
494,Hapi Mari,Enjouji Maki,40a,Ongoing,Right to Left
495,Masamune-kun no Revenge After School,Takeoka Hazuki,6,Ongoing,Right to Left
496,Dungeon ni Deai wo Motomeru no wa Machigatte Iru Darou ka Gaiden - Sword Oratoria,OOMORI Fujino,130,Ongoing,Right to Left
497,Katekyo Hitman Reborn!,Amano Akira,409,Ongoing,Right to Left
498,Suicide Island,MORI Kouji,168,Ongoing,Right to Left
499,Gaikotsu Kishi-sama Tadaima Isekai e o Dekake-chuu,Hakari Enki,65b,Ongoing,Right to Left
500,Parasyte Reversi,Ohta Moare,76,Ongoing,Right to Left
501,Murabito Tensei: Saikyou no Slow Life,"Ichisouyou,",35,Ongoing,Right to Left
502,Deadman Wonderland,KATAOKA Jinsei,58,Completed,Right to Left
503,Vampire Library,LEE Sun-Young,43,Ongoing,Right to Left
504,Happy Nest,Nakamura Yukichi,1,Ongoing,Right to Left
505,Akame ga Kiru! Zero,Takahiro,55,Ongoing,Right to Left
506,Fruits Basket,"Takaya, Natsuki",136,Completed,Right to Left
507,Wind Sword,Kim Chul Hyun,130,Ongoing,Manhwa
508,Soul Cartel,KIM Eun-hyo,226,Ongoing,Left to Right
509,Nejimaki Kagyu,NAKAYAMA Atsushi,150,Ongoing,Right to Left
510,Marry Me!,YUUKI Miku,134,Ongoing,Right to Left
511,Alma,Mito Shinji,19,Ongoing,Right to Left
512,Its Not My Fault That Im Not Popular!,TANIGAWA Nico,231,Ongoing,Right to Left
513,Attack On Titan - Before The Fall,ISAYAMA Hajime,60,Ongoing,Right to Left
514,Re:Zero kara Hajimeru Isekai Seikatsu - Daisanshou - Truth of Zero,Nagatsuki Tappei,53e,Ongoing,Right to Left
515,Hidan no Aria,"AKAMATSU Chuugaku (Story), KOBUICHI (Art)",124,Ongoing,Right to Left
516,Coffee & Vanilla,Akegami Takara,88,Ongoing,Right to Left
517,Desolate Era,Man Wang Za Zhi,51,Ongoing,Right to Left
518,Runway de Waratte,Inoya Kotoba,194,Ongoing,Right to Left
519,Ao Haru Ride,SAKISAKA Io,49,Ongoing,Right to Left
520,Jui-san no Oshigoto in Isekai,Aozora Choco,72,Ongoing,Right to Left
521,Midara na Ao-chan wa Benkyou ga Dekinai,KAWAHARA Ren,16,Ongoing,Right to Left
522,Special Martial Arts Extreme Hell Private High School,Huh Il,69,Ongoing,Left to Right
523,Great Teacher Onizuka,"Fujisawa, Tohru (Story & Art)",200a,Completed,Right to Left
524,Rave,Mashima Hiro,296,Completed,Right to Left
525,Koharu Hiyori.,Nekoume,17,Ongoing,Right to Left
526,Akagi,"Fukumoto, Nobuyuki",307,Ongoing,Right to Left
527,Sen no Sukiru o Motsu Otoko,"Bunsaburo Nagano, Shibuya Daikon",71,Ongoing,Right to Left
528,Ichigo 100%,"Kawashita, Mizuki (Story & Art)",167,Completed,Right to Left
529,Arifureta Nichijou de Sekai Saikyou,Shirakome Ryou,37,Ongoing,Right to Left
530,Isekai Man Chikin -HP 1 no Mama de Saikyou Saisoku Danjon Kouryaku-,Shimizu Yuu,108,Ongoing,Right to Left
531,Area 51,HISA Masato,27,Ongoing,Right to Left
532,New Normal: Class 8,Youngpaka,328,Completed,Right to Left
533,Kuroko no Basket,"Fujimaki, Tadatoshi (Story & Art)",275,Ongoing,Right to Left
534,Gamaran,"Nakamaru, Yousuke (Story & Art)",194,Ongoing,Right to Left
535,Hunter x Hunter Special,TOGASHI Yoshihiro,2,Ongoing,Right to Left
536,Ossan Boukensha Kein no Zenkou,Okino Maho,53,Ongoing,Right to Left
537,Strike or Gutter,Yuu Ando,33,Ongoing,Right to Left
538,Zutto Otokonoko da to Omotte ita Gakitaishou ga Onnanoko deshita,Macharge,34,Ongoing,Right to Left
539,It's Not Meguro-san's First Time,9?,78,Ongoing,Right to Left
540,Isekai Death Game ni Tensou Sarete Tsurai,Mizu Asato,18,Ongoing,Right to Left
541,The Heroic Legend of Arslan (ARAKAWA Hiromu),TANAKA Yoshiki,138,Ongoing,Right to Left
542,Neko no Otera no Chion-san,OJIRO Makoto,79,Ongoing,Right to Left
543,Space-Time Prisoner,Bai Xiao,90,Ongoing,Left to Right
544,"Doryoku Shisugita Sekai Saikyou no Butouka ha, Mahou Sekai wo Yoyuu de Ikinuku.",Wankosoba,30,Ongoing,Right to Left
545,Killing Morph,Nokuto Koike,36,Ongoing,Right to Left
546,ZIPMAN!!,Shibata Yuusaku,17,Ongoing,Right to Left
547,God Slayer,Hu Yan Studio,221,Ongoing,Left to Right
548,Kemono Giga,Koishi Chikasa,89,Ongoing,Right to Left
549,Tactics Ogre,MATSUBA Hiro,8,Completed,Right to Left
550,Claymore,"Yagi, Norihiro (Story & Art)",155,Completed,Right to Left
551,Renai Boukun,MIHOSHI Megane,57,Ongoing,Right to Left
552,Shinigamihime no Saikon - Baraen no Tokei Koushaku,ONOGAMI Meiya,5,Ongoing,Right to Left
553,From Maid to Mother,YUDZUKI Seiya,75,Ongoing,Right to Left
554,Shoujo Kishidan x Knight Tale,Inue Shinsuke,19,Ongoing,Right to Left
555,Fulldrum,HAKOISHI Tooru,45,Ongoing,Right to Left
556,Mondaijitachi ga Isekai kara Kuru sou desu yo? Z,TATSUNOKO Tarou,18,Ongoing,Right to Left
557,Oyasumi Punpun,"Asano, Inio (Story & Art)",147,Ongoing,Right to Left
558,Akira,"Otomo, Katsuhiro (Story)",6,Completed,Right to Left
559,Rosario-Vampire,Ikeda Akihisa,40,Completed,Right to Left
560,Henkyou no Roukishi - Bard Loen,Shien BIS,83,Ongoing,Right to Left
561,blanc,Nakamura Asumiko,12c,Ongoing,Right to Left
562,Asobi Asobase,SUZUKAWA Rin,132,Ongoing,Right to Left
563,Tensei shitara Slime datta Ken Ibun: Makuni Kurashi no Trinity,Fuse,64,Ongoing,Right to Left
564,Soul Land - Legend of The Gods' Realm,Tang Jia San Shao,74,Ongoing,Right to Left
565,GTO - Paradise Lost,FUJISAWA Tohru,178e,Ongoing,Right to Left
566,Jiken Jaken!,Yasuda Kousuke,92,Ongoing,Right to Left
567,Hinomaru Zumou,Kawada,250e,Ongoing,Right to Left
568,Maou-jou de Oyasumi,Kumanomata Kagiji,398,Ongoing,Right to Left
569,Iris Zero,"HOTARU Takana, Pro Shiki (Story & Art)",44,Ongoing,Right to Left
570,Akame ga Kiru!,Takahiro,78,Completed,Right to Left
571,Otoyomegatari,"Mori, Kaoru (Story & Art)",112,Ongoing,Right to Left
572,Blood Lad,KODAMA Yuuki,85,Ongoing,Right to Left
573,Memesis,Yagyuu Takuya,45,Ongoing,Right to Left
574,Shinobi Shijuusou,Himuka Tohru,31,Ongoing,Right to Left
575,Sekitou Elergy,KIRA Takashi,89,Ongoing,Right to Left
576,The One,Lee Nicky,110,Ongoing,Right to Left
577,Boku wa Tomodachi ga Sukunai,HIRASAKA Yomi,75,Ongoing,Right to Left
578,JoJo's Bizarre Adventure Part 3: Stardust Crusaders,ARAKI Hirohiko,153,Completed,Right to Left
579,I Am a Hero,HANAZAWA Kengo (Story & Art),263,Ongoing,Right to Left
580,Corpse Party Blood Covered,"KUDOUIN Makoto (Story), SHINOMIYA Toshimi (Art)",47,Completed,Right to Left
581,"Chikotan, Kowareru",Imai Yuu,69e,Ongoing,Right to Left
582,Eromanga-sensei,FUSHIMI Tsukasa,79,Ongoing,Right to Left
583,Karate Baka Iseka,Terui Eito,2,Ongoing,Right to Left
584,Mokuyoubi wa Kimi to Nakitai.,Kudou Makoto,32,Ongoing,Right to Left
585,Kochikame,"Akimoto, Osamu (Story & Art)",21,Ongoing,Right to Left
586,Hitman - Part Time Killer,MUTOU Hiroshi,62,Ongoing,Right to Left
587,Cyclops Shoujo Saipu,TORA Yasu,153,Ongoing,Right to Left
588,The Villain's Ending Is Death,Kwon Gyeoeul,171,Ongoing,Left to Right
589,Shigurui,"Yamaguchi, Takayuki (Story), Nanjo, Norio (Art)",76,Ongoing,Right to Left
590,Initial D,"Shigeno, Shuichi",719,Completed,Right to Left
591,We Want to Talk About Kaguya,G3 Iida,196,Ongoing,Right to Left
592,Assassination Classroom,MATSUI Yuusei,180,Completed,Right to Left
593,Mahouka Koukou no Rettousei - Raihousha Hen,SATOU Tsutomu,19,Ongoing,Right to Left
594,Tokyo Dragon,Asahi Tsukishita,49,Ongoing,Right to Left
595,Vampire Sphere,AKI.7,131,Ongoing,Right to Left
596,One Piece :Roronoa Zoro Falls Into the Sea,ODA Eiichiro,1,Ongoing,Right to Left
597,Akumetsu,"Tabata, Yoshiaki (Story), Yuuki, Yugo (Art)",162,Ongoing,Right to Left
598,Tenkuu Shinpan Arrive,Miura Tsuina,58,Ongoing,Right to Left
599,Otome Sensou,OHNISHI Kouichi,60,Ongoing,Right to Left
600,Saiki Kusuo no Psi Nan,ASOU Shuuichi,281,Ongoing,Right to Left
601,My Hero Academia Smash!!,NEDA Hirofumi,16,Ongoing,Right to Left
602,Ultimate Legend: Kang Hae Hyo,CHOI Byung Yeol,194,Ongoing,Left to Right
603,Ouji-Sama Nante Iranai,Harushion,200,Ongoing,Right to Left
604,Fire Punch,Fujimoto Tatsuki,83,Ongoing,Right to Left
605,A Story About Kissing,Garun,1,Ongoing,Right to Left
606,Kimi No Iru Machi,"Seo, Kouji",261,Ongoing,Right to Left
607,Boku no Neesan,Yamada Pasta,12,Ongoing,Right to Left
608,Fairy Tail Christmas Special,MASHIMA Hiro,2,Ongoing,Right to Left
609,Aku No Hana,OSHIMI Shuuzou,57,Ongoing,Right to Left
610,Mint Chocolate,ORIKASA Mami,61f,Ongoing,Right to Left
611,Dokgo,Min,90,Ongoing,Right to Left
612,Trash.,YAMAMOTO Kenji,79,Ongoing,Right to Left
613,Majokari no Gendai Kyoten,Tosaka Akira,24,Ongoing,Right to Left
614,U Kill I Cook,Jiu Jiji,18,Ongoing,Left to Right
615,Boushoku-Hi no Ken,"Nekoko, Nekoko.",46,Ongoing,Right to Left
616,Sorairo no Graffiti,"Karutoma, Kaltoma",58,Ongoing,Right to Left
617,Karate Shoukoushi Kohinata Minoru,"Yasushi, Baba (Story & Art)",502,Ongoing,Right to Left
618,Panlong,I Eat Tomatoes,215,Ongoing,Right to Left
619,Dungeon Nursery,Ooma Kurou,24,Ongoing,Right to Left
620,Grappler Baki,ITAGAKI Keisuke,142,Ongoing,Right to Left
621,Alcafus,Murayama Wataru,21,Ongoing,Right to Left
622,Futaribeya,Yukiko,77,Ongoing,Right to Left
623,GE - Good Ending,"Sasuga, Kei (Story & Art)",156,Completed,Right to Left
624,Honkai Impact 3,MiHoYo,22,Ongoing,Right to Left
625,Cardcaptor Sakura - Clear Card Arc,Clamp,80,Ongoing,Right to Left
626,The World God Only Knows,Wakaki Tamiki,268,Ongoing,Right to Left
627,Hoankan Evans no Uso,Kuriyama Miduki,185,Ongoing,Right to Left
628,Saijaku Muhai no Bahamut,"AKATSUKI Senri, WATANABE Itsuki",33e,Ongoing,Right to Left
629,Rurouni Kenshin - Hokkaido Arc,Watsuki Nobuhiro,60,Ongoing,Right to Left
630,Mushoku Tensei - Roxy is Serious,Rifujin Na Magonote,64,Ongoing,Right to Left
631,Re:Zero Kara Hajimeru Isekai Seikatsu - Kenki Koiuta,Nagatsuki Tappei,16,Ongoing,Right to Left
632,Beware of the Villainess!,"Bbongdda Mask, Berry",128,Ongoing,Left to Right
633,under PRIN,No Sensei,326,Ongoing,Left to Right
634,Last Game,AMANO Shinobu,56,Ongoing,Right to Left
635,City of Dead Sorcerer,"Team Getname, Carnby",236e,Ongoing,Left to Right
636,3D Kanojo,NANAMI Mao,47,Ongoing,Right to Left
637,Dragon Quest Dai No Daiboken,"Sanjo, Riku, Inada, Koji",349,Completed,Right to Left
638,I Opened the Gates of Hell,Fly Studio,4,Ongoing,Right to Left
639,Hive,Kim Gyu-Sam,243,Ongoing,Left to Right
640,Sekirei,Gokurakuin Sakurako,188,Ongoing,Right to Left
641,One Piece (Databook),ODA Eiichiro (Story & Art),3,Ongoing,Right to Left
642,City Hunter,"Tsukasa, Hojo (Story & Art)",191,Ongoing,Right to Left
643,Kingdom Hearts,"Amano, Shiro (Art), Nomura, Tetsuya (Story)",43,Completed,Left to Right
644,Minami-ke,"Sakuraba, Coharu (Story & Art)",503,Ongoing,Right to Left
645,Kodomo no Kamisama,Misu Shinya,1,Ongoing,Right to Left
646,Isekai Ekisha no Kissaten,Kanna Yuyu,27,Ongoing,Right to Left
647,Diamond no Ace,"Terajima, Yuuji (Story & Art)",409,Ongoing,Right to Left
648,Tonari no Kaibutsu-kun,Robiko (Story & Art),52,Ongoing,Right to Left
649,Ouran High School Host Club,"Hatori, Bisco (Story & Art)",83,Completed,Right to Left
650,Duranki,Miura Kentaro,6e,Ongoing,Right to Left
651,Hadakeru Kaibutsu,Ogeretsu Tanaka,9,Ongoing,Right to Left
652,Ga-Rei,"Segawa, Hajime",52,Ongoing,Right to Left
653,Isekai Meikyuu no Saishinbu o Mezasou,Warinai Tarisa,34,Ongoing,Right to Left
654,USOTOKI RHETORIC,Miyako Ritsu,50,Completed,Right to Left
655,Summer Time Render,Tanaka Yasuki,139,Completed,Right to Left
656,Rurouni Kenshin,Watsuki Nobuhiro,258,Completed,Right to Left
657,Isuca,TAKAHASHI Osamu,58,Ongoing,Right to Left
658,Tamen de Gushi,Tan Jiu,245,Ongoing,Left to Right
659,Angel Densetsu,Yagi Norihiro,84,Completed,Right to Left
660,Cavalier Of The Abyss,"Juder, Deo JYU",150,Ongoing,Left to Right
661,Kubera,Currygom (Story & Art),661,Ongoing,Left to Right
662,Tomie,"Ito, Junji (Story & Art)",12,Ongoing,Right to Left
663,Maken no Daydreamer,Nishi Osyou,61,Ongoing,Right to Left
664,Natsume Yuujinchou,"Midorikawa, Yuki (Story & Art)",123,Ongoing,Right to Left
665,Battle Through the Heavens Prequel - The Legend of Yao Lao,Tian Can Tu Dou,26,Ongoing,Manhua
666,Nana to Kaoru,"Amazume, Ryuta (Story & Art)",52,Ongoing,Right to Left
667,Ouroboros,KANZAKI Yuuya,132,Ongoing,Right to Left
668,The Black June,Doxx,91,Ongoing,Left to Right
669,"Immortal, Invincible",Deep-sea,190,Ongoing,Manhwa
670,Captain Tsubasa - Rising Sun,TAKAHASHI Yoichi,150,Ongoing,Right to Left
671,"For My Daughter, I Might Even Be Able to Defeat the Demon King",Hota,33,Ongoing,Right to Left
672,Bokura no Kiseki,KUMETA Natsuo,154,Ongoing,Manga
673,Totsugami,SAITOU Misaki,60,Ongoing,Right to Left
674,"Prince, Don't Do This!",Dong Man Tang,355b,Ongoing,Left to Right
675,Nekuromansu,Domoto Yuki,43,Ongoing,Right to Left
676,Danshi Koukousei no Nichijou,YAMAUCHI Yasunobu,108,Ongoing,Right to Left
677,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,YUUJI Yuuji,37,Ongoing,Right to Left
678,Code Geass - Nightmare of Nunnally,Ichiro Okouchi,26,Ongoing,Right to Left
679,Shinryaku Ika Musume,"Anbe, Masahiro (Story & Art)",365,Ongoing,Right to Left
680,Azumi,KOYAMA Yuu,349,Completed,Right to Left
681,Tenkuu Shinpan,Miura Tsuina,259,Ongoing,Right to Left
682,Hikaru No Go,"Obata, Takeshi, Hotta, Yumi",191,Completed,Right to Left
683,"After Transformation, Mine and Her Wild Fantasy",Xue Yan Tian Zhao,37,Ongoing,Left to Right
684,Kamisama Hajimemashita,"Suzuki, Julietta (Story & Art)",149,Ongoing,Right to Left
685,A Thousand Years Ninetails,Giryang,126,Ongoing,Left to Right
686,Ad Astra - Scipio to Hannibal,KAGANO Mihachi,81,Ongoing,Right to Left
687,Gakuen Babysitters,"Tokeino, Hari (Story & Art)",143e,Ongoing,Right to Left
688,One Piece Party,ANDOU Ei,32,Ongoing,Right to Left
689,Shingeki no Kyojin - Lost Girls,"ISAYAMA Hajime, SEKO Hiroshi",10,Ongoing,Right to Left
690,Prince Of Tennis,"Konomi, Takeshi (Story & Art)",379,Completed,Right to Left
691,Kimi Ni Todoke,"Shiina, Karuho",112,Ongoing,Right to Left
692,Blue Giant,ISHIZUKA Shinichi,80,Completed,Right to Left
693,Aoki Hagane no Arpeggio,Ark Performance,161,Ongoing,Right to Left
